ds,holiday
2004-1-1,New Year's Day
2004-1-19,"Birthday of Martin Luther King, Jr."
2004-2-16,Washington's Birthday
2004-5-31,Memorial Day
2004-7-5,Independence Day
2004-9-6,Labor Day
2004-10-11,Columbus Day
2004-11-11,Veterans Day
2004-11-25,Thanksgiving Day
2004-12-24,Christmas Day
2005-12-31,New Year's Day
2005-1-17,"Birthday of Martin Luther King, Jr."
2005-2-21,Washington's Birthday
2005-5-30,Memorial Day
2005-7-4,Independence Day
2005-9-5,Labor Day
2005-10-10,Columbus Day
2005-11-11,Veterans Day
2005-11-24,Thanksgiving Day
2005-12-26,Christmas Day
2006-1-2,New Year's Day
2006-1-16,"Birthday of Martin Luther King, Jr."
2006-2-20,Washington's Birthday
2006-5-29,Memorial Day
2006-7-4,Independence Day
2006-9-4,Labor Day
2006-10-9,Columbus Day
2006-11-10,Veterans Day
2006-11-23,Thanksgiving Day
2006-12-25,Christmas Day
2007-1-1,New Year's Day
2007-1-15,"Birthday of Martin Luther King, Jr."
2007-2-19,Washington's Birthday
2007-5-28,Memorial Day
2007-7-4,Independence Day
2007-9-3,Labor Day
2007-10-8,Columbus Day
2007-11-12,Veterans Day
2007-11-22,Thanksgiving Day
2007-12-25,Christmas Day
2008-1-1,New Year's Day
2008-1-21,"Birthday of Martin Luther King, Jr."
2008-2-18,Washington's Birthday
2008-5-26,Memorial Day